удручать,neg,rusentilex,1
утяжеление,neg,rusentilex,2
взятка,neg,rusentilex,1
взятка,pos,rusentilex,1
приемлемый,pos,linis,56
черт,neg,linis,23
курение,pos,linis,172
курение,neg,linis,172
восхитить,pos,rusentilex,1
гормон,pos,linis,150
отсталый,neg,linis,1
анемия,neg,rusentilex,50
подташнивать,neg,rusentilex,29
вонь,neg,linis,10
сдружиться,pos,rusentilex,1
усомниться,neg,linis,8
бесподобный,pos,linis,2
крест,neg,linis,4
рахитный,neg,rusentilex,1
бедный,neg,linis,45
никчемный,neg,linis,5
стойкость,pos,rusentilex,1
защищать,pos,linis,83
продешевить,neg,rusentilex,1
клеиться,pos,rusentilex,19
пахать,neg,linis,1
экстремальный,neg,linis,3
расстраиваться,neg,linis,61
подмерзать,neg,rusentilex,1
отваливаться,neg,rusentilex,24
кокаин,neg,linis,5
перекрывать,neg,linis,10
объективность,pos,rusentilex,4
заикаться,neg,linis,1
уютный,pos,linis,1
замучить,neg,rusentilex,17
износ,neg,rusentilex,2
важный,pos,linis,271
приговаривать,neg,linis,3
упустить,neg,rusentilex,8
превышение,neg,rusentilex,4
затуманить,neg,rusentilex,1
записывать,neg,linis,14
вздрагивать,pos,linis,5
приглянуться,pos,rusentilex,4
дурочка,neg,linis,2
энурез,neg,rusentilex,3
неудобный,neg,linis,271
нагноение,neg,rusentilex,7
вторжение,neg,linis,2
родимый,pos,rusentilex,4
очарование,neg,linis,1
бушевать,neg,rusentilex,8
нарушать,neg,linis,36
восторг,pos,linis,64
сентиментальность,pos,rusentilex,1
пышный,pos,rusentilex,1
здравый,pos,linis,7
воля,pos,linis,82
поднадоесть,neg,rusentilex,2
беспрерывный,neg,linis,2
праздник,pos,rusentilex,35
трясение,neg,rusentilex,1
удовольствие,pos,linis,178
популярный,pos,linis,76
привлекательность,pos,rusentilex,1
умирать,neg,linis,50
мазаться,neg,rusentilex,48
критиковать,neg,linis,4
жадный,neg,linis,1
безрезультативный,neg,rusentilex,1
невредимый,pos,linis,1
зрелость,pos,rusentilex,1
лопаться,neg,rusentilex,26
аллергенный,neg,rusentilex,8
тоненький,pos,linis,16
промедление,neg,rusentilex,1
основа,pos,linis,260
морщина,neg,rusentilex,6
прививать,neg,linis,25
солидность,pos,rusentilex,1
эксклюзивный,pos,rusentilex,1
бросать,neg,linis,650
спутывать,neg,rusentilex,1
муж,neg,linis,1305
муж,pos,linis,1305
скепсис,neg,rusentilex,3
воспалительный,neg,rusentilex,86
отягощение,neg,rusentilex,1
неаккуратный,neg,rusentilex,2
помпа,pos,rusentilex,5
многочисленный,neg,linis,39
неустойчивость,neg,rusentilex,3
устаревший,neg,rusentilex,3
пакость,neg,rusentilex,6
сытный,pos,linis,1
чистота,pos,linis,15
непосильный,neg,linis,2
дурдом,neg,linis,1
бодрость,pos,rusentilex,37
темень,neg,rusentilex,1
выигрывать,pos,linis,7
поправляться,pos,rusentilex,15
пикантный,pos,rusentilex,2
напрягаться,neg,linis,7
химический,neg,linis,118
жажда,neg,linis,11
подеваться,neg,rusentilex,1
сотрудничать,pos,rusentilex,2
хаос,neg,linis,2
касса,pos,linis,10
списывать,neg,linis,34
желчный,neg,linis,39
мусульманин,neg,linis,1
опаснейший,neg,rusentilex,1
ссадина,neg,rusentilex,14
посадить,neg,linis,9
сухость,neg,rusentilex,231
сухость,pos,rusentilex,231
убийца,neg,linis,1
внутри,pos,linis,408
экологический,pos,linis,1
увлекать,pos,linis,2
сыпь,neg,rusentilex,333
пофиг,neg,rusentilex,5
пищать,neg,rusentilex,2
мутнеть,neg,rusentilex,5
нагрузка,neg,rusentilex,87
убыль,neg,rusentilex,4
горесть,neg,rusentilex,1
обморок,neg,rusentilex,26
доход,pos,linis,1
теряться,neg,linis,5
оглохнуть,neg,rusentilex,5
компромисс,pos,rusentilex,1
проклятие,neg,linis,1
защита,pos,linis,78
вялость,neg,linis,43
доллар,neg,linis,14
хлебнуть,neg,linis,1
сойти,pos,rusentilex,1
последовательность,pos,rusentilex,3
неопределенный,neg,linis,1
нарыв,neg,rusentilex,3
заторможенность,neg,rusentilex,20
интернат,neg,linis,1
разочарование,neg,linis,111
восхвалять,neg,linis,1
восхвалять,pos,linis,1
восхвалять,neg,linis,1
чудовище,neg,linis,1
принцесса,pos,linis,2
изнашивать,neg,rusentilex,1
звонкий,pos,rusentilex,2
эффективный,pos,linis,835
конфликтность,neg,rusentilex,2
новый,pos,linis,788
неохота,neg,rusentilex,5
авторитет,neg,linis,1
авторитет,pos,linis,1
трудный,neg,linis,207
горчить,neg,rusentilex,2
запутываться,neg,rusentilex,6
прогрессивный,pos,linis,1
знание,pos,linis,14
нежный,pos,linis,42
треш,neg,linis,1
сетовать,neg,linis,1
краса,pos,rusentilex,12
несложный,pos,linis,14
пачкаться,neg,rusentilex,12
апатичный,neg,rusentilex,1
предпочтительный,pos,rusentilex,4
известись,neg,rusentilex,2
волноваться,neg,linis,22
наркомания,neg,linis,5
шизофреник,neg,linis,2
светиться,neg,linis,2
архив,neg,linis,1
архив,pos,linis,1
лапша,neg,rusentilex,4
горячий,neg,rusentilex,93
горячий,pos,rusentilex,93
обругать,neg,rusentilex,1
похмельный,neg,rusentilex,6
заражаться,neg,rusentilex,34
заражаться,pos,rusentilex,34
мания,neg,linis,3
злиться,neg,linis,5
радикал,neg,rusentilex,2
успех,pos,linis,85
священный,pos,rusentilex,2
слабохарактерность,neg,rusentilex,1
трезвость,neg,linis,1
диабет,neg,linis,37
тщетный,neg,rusentilex,11
испытание,neg,rusentilex,51
правдивый,pos,linis,6
бессмысленный,neg,linis,23
беспокойный,neg,linis,42
инцидент,neg,rusentilex,3
загонять,neg,linis,4
незаконный,neg,linis,1
настойчивый,neg,linis,3
навредить,neg,linis,91
патоген,neg,rusentilex,3
астматик,neg,rusentilex,9
сомнительный,neg,rusentilex,113
возиться,neg,linis,2
ошибочный,neg,linis,3
божий,pos,linis,2
тянуть,neg,linis,75
несуществующий,neg,linis,2
ухлопать,neg,rusentilex,1
дед,pos,linis,6
бунт,neg,linis,1
маленький,pos,linis,1050
исцелиться,pos,rusentilex,3
мимолетный,neg,linis,2
дефицит,neg,linis,36
утомление,neg,rusentilex,1
подходящий,pos,rusentilex,37
успокоить,pos,rusentilex,15
косяк,neg,linis,3
неработающий,neg,linis,1
вера,pos,linis,29
нескромный,neg,linis,1
энтузиазм,pos,linis,12
верный,pos,linis,35
сбиться,neg,rusentilex,8
сбиться,pos,rusentilex,8
сознавать,pos,rusentilex,1
огорчать,neg,linis,21
герпес,neg,rusentilex,204
значимый,pos,rusentilex,5
правда,pos,linis,438
гневный,neg,rusentilex,1
оскорблять,neg,linis,1
недосмотр,neg,rusentilex,1
морда,neg,linis,2
антимонопольный,neg,rusentilex,1
сюрприз,pos,linis,21
душенька,neg,linis,2
душенька,pos,linis,2
старец,neg,linis,2
старец,pos,linis,2
застарелость,neg,rusentilex,1
предвкушать,pos,rusentilex,2
ликовать,neg,linis,1
ликовать,pos,linis,1
туманность,neg,rusentilex,2
стабилизация,pos,rusentilex,5
американец,neg,linis,5
учеба,neg,linis,19
учеба,pos,linis,19
специфичный,neg,linis,3
запущенность,neg,rusentilex,1
немаленький,pos,linis,37
немаленький,neg,linis,37
помутнеть,neg,rusentilex,1
хворь,neg,rusentilex,8
мыслишка,neg,rusentilex,1
ядовитый,neg,linis,17
сквозняк,neg,rusentilex,11
злостный,neg,linis,2
упорный,neg,linis,2
упорный,pos,linis,2
чесотка,neg,rusentilex,14
блокада,neg,rusentilex,12
калечить,neg,linis,38
почитать,pos,rusentilex,342
бедствие,neg,linis,3
удручить,neg,rusentilex,1
увлекательный,pos,linis,1
мнить,neg,linis,1
спамер,neg,rusentilex,1
рвотный,neg,rusentilex,82
продуктивность,pos,rusentilex,1
недовольный,neg,linis,53
струхнуть,neg,rusentilex,1
бедняжка,neg,linis,3
жара,neg,rusentilex,39
помучить,neg,rusentilex,2
догадка,neg,linis,9
акушерка,pos,linis,8
неврастенический,neg,rusentilex,1
гной,neg,rusentilex,45
кесарев,pos,linis,17
наобещать,neg,rusentilex,2
пожаловаться,neg,rusentilex,1
пожадничать,neg,rusentilex,1
скользкий,neg,rusentilex,8
суровый,neg,linis,10
удача,pos,linis,44
монополия,neg,rusentilex,2
австрийский,pos,linis,2
наркота,neg,linis,1
боевой,pos,linis,4
боевой,neg,linis,4
воспалиться,neg,rusentilex,51
беззащитный,neg,rusentilex,1
выкидывать,neg,linis,109
онкология,neg,rusentilex,18
ожог,neg,rusentilex,138
хромой,neg,linis,2
диспепсия,neg,rusentilex,2
отекший,neg,rusentilex,2
федерация,pos,linis,1
невыясненный,neg,rusentilex,1
действенность,pos,rusentilex,16
благодарить,pos,linis,21
вспышка,neg,linis,14
провоцировать,neg,rusentilex,62
обманывать,neg,linis,14
идиотизм,neg,linis,1
червяк,neg,linis,1
продаваться,neg,linis,252
стыдно,neg,rusentilex,19
твориться,neg,linis,22
токсичность,neg,rusentilex,5
штормить,neg,rusentilex,5
белиберда,neg,linis,1
халатный,neg,linis,1
расчет,pos,linis,20
рожа,neg,linis,5
мурашки,neg,rusentilex,2
достоверный,pos,linis,5
пригодный,pos,linis,9
высота,pos,linis,9
липкий,neg,linis,91
грандиозный,pos,linis,1
одуматься,pos,rusentilex,1
парализовать,neg,rusentilex,2
перхоть,neg,rusentilex,74
осознание,pos,rusentilex,11
неспокойный,neg,rusentilex,5
пугать,neg,linis,43
возбужденный,neg,rusentilex,1
спад,neg,rusentilex,10
пересыхание,neg,rusentilex,1
стеснение,neg,rusentilex,1
искусственный,neg,rusentilex,50
готовить,pos,linis,33
готовить,neg,linis,33
подкачать,neg,rusentilex,7
приободрить,pos,rusentilex,1
разум,pos,linis,6
смочь,pos,linis,2
эффектный,pos,linis,3
смайлик,pos,rusentilex,2
подавлять,neg,rusentilex,35
запутаться,neg,rusentilex,4
юмор,pos,linis,2
юмор,neg,linis,2
визжать,neg,linis,1
